Sname,Constituency_ID,Constituency_Name,Candidate_name,Party,EVM_Votes,Postal_Votes,Total_Votes,Votes_per
JK,4,UDHAMPUR,DR JITENDRA SINGH,BJP,566833,4243,571076,51.28
JK,4,UDHAMPUR,CH LAL SINGH,INC,444151,2552,446703,40.11
JK,4,UDHAMPUR,GHULAM MOHD SAROORI,IND,39519,80,39599,3.56
JK,4,UDHAMPUR,MEHRAJ DIN,IND,9055,27,9082,0.82
JK,4,UDHAMPUR,AMIT KUMAR,BSP,8559,83,8642,0.78
JK,4,UDHAMPUR,MOHD ALI GUJJAR,IND,7139,19,7158,0.64
JK,4,UDHAMPUR,MANOJ KUMAR,ESBD,6778,56,6834,0.61
JK,4,UDHAMPUR,BALWAN SINGH,JKNPPB,3243,49,3292,0.3
JK,4,UDHAMPUR,SWARN VEER SINGH JARAL,IND,3071,17,3088,0.28
JK,4,UDHAMPUR,DR PANKAJ SHARMA,IND,2201,46,2247,0.2
JK,4,UDHAMPUR,RAJESH MANCHANDA,IND,1575,30,1605,0.14
JK,4,UDHAMPUR,SACHIN GUPTA,IND,1457,6,1463,0.13
JK,4,UDHAMPUR,NOTA,NOTA,12891,47,12938,1.16
TS,14,BHONGIR,CHAMALA KIRAN KUMAR REDDY,INC,623762,5381,629143,44.89
TS,14,BHONGIR,DR. BOORA NARSAIAH GOUD,BJP,401513,5460,406973,29.04
TS,14,BHONGIR,KYAMA MALLESH,BRS,254838,1349,256187,18.28
TS,14,BHONGIR,MAHAMD JAHANGIR,CPIM,28412,318,28730,2.05
TS,14,BHONGIR,RAMESH GOUD THALLAPELLY,ADRP,8130,16,8146,0.58
TS,14,BHONGIR,AITARAJU ABENDER,BSP,7703,66,7769,0.55
TS,14,BHONGIR,ASURA BALU,IND,5747,3,5750,0.41
TS,14,BHONGIR,PULIGILLA BIXAPATHI YADAV,NNKP,4718,0,4718,0.34
TS,14,BHONGIR,BUSHIPAKA VENKATAIAH,IND,4674,1,4675,0.33
TS,14,BHONGIR,POOSA SRINIVAS,TRPS,4431,2,4433,0.32
TS,14,BHONGIR,NARENDRAA VEMULA,JSP,4303,1,4304,0.31
TS,14,BHONGIR,KONGARI LINGA SWAMY,DSP,4029,64,4093,0.29
TS,14,BHONGIR,TARIGOPPULA MAHENDER,SJPI,3088,1,3089,0.22
TS,14,BHONGIR,KARINGULA YADAGIRI,IND,2607,5,2612,0.19
TS,14,BHONGIR,BETHI NARENDER,IND,2168,0,2168,0.15
TS,14,BHONGIR,M. GANESH,PPI,1996,14,2010,0.14
TS,14,BHONGIR,MALLEBOINA PARAMESH YADAV,IND,1895,2,1897,0.14
TS,14,BHONGIR,LINGIDI. VENKATESWARLU,PJVP,1792,0,1792,0.13
