Party Code,Party Name,Alliance
AMP,Aadarsh Mithila Party,Others
ADSSP,Aadarsh Sangram Party,Others
ADBP,Aadi Bharat Party,Others
ADISP,Aadim Samaj Party,Others
AAAPP,Aam Aadmi Parivartan Party,Others
AAAP,Aam Aadmi Party,INDIA
AJP,"Aam Janmat Party,",Others
AJSP,Aam Janshakti Party,Others
AJPI,Aam Janta Party (India),Others
AJPR,Aam Janta Party Rashtriya,Others
ALPU,Aam Lok Party United,Others
AJPK,Aanaithinthiya Jananayaka Pathukappu Kazhagam,Others
ASAP,Aap Sabki Apni Party,Others
AGP,Aapka Gantantra Party,Others
AAPP,Aapki Apni Party (Peoples),Others
AAP,Aapki Awaaz Party,Others
AVRP,AARAKSHAN VIRODHI PARTY,Others
ASPP,Aas Punjab Party,Others
AWPP,Aawami Pichhada Party,Others
ASPKR,Aazad Samaj Party (Kanshi Ram),Others
ABSYP,Abhay Samaj Party,Others
ABJNP,Abhinav Bharat Janseva Paksh,Others
ARP,Abhinav Rajasthan Party,Others
ABJHP,Abua Jharkhand Party,Others
AJD,Adarsh Jankalyan Dal,Others
ADJP,"Adarsh Janta Party,",Others
ANRP,Adarsh Nyay Rakshak Party,Others
ADSP,Adarsh Samaj Party,Others
ACP,Adarshwaadi Congress Party,Others
ABD,Adim Bhartiya Dal,Others
AHSSP,Ahimsa Socialist Party,Others
AHSP,Ahinsa Samaj Party,Others
ANP,Aihra National Party,Others
APPP,Aim Political Party,Others
AJSUP,AJSU Party,Others
ABJP,Akhand Bharat Janpriya Party,Others
ABSPY,Akhand Bharat Samrajya Party,Others
ABSP,Akhand Bharat Swatantra Party,Others
ABHM,Akhil Bharat Hindu Mahasabha,Others
ABCDA,Akhil Bharatiya Congress Dal (Ambedkar),Others
ABHKP,Akhil Bharatiya Hind Kranti Party,Others
ABMP,Akhil Bharatiya Manavata Paksha,Others
ABMLS,Akhil Bharatiya Muslim League (Secular),Others
ABAP,Akhil Bhartiya Aamjan Party,Others
ABASP,Akhil Bhartiya Aarakshit Samaj Party,Others
ABAD,Akhil Bhartiya Apna Dal,Others
ABHSP,Akhil Bhartiya Hamara Samaj Party,Others
ABKMP,Akhil Bhartiya Kisan Majdoor Party,Others
ABMVMP,Akhil Bhartiya Manavadhikar Vichar Manch Party,Others
ABPP,Akhil Bhartiya Parivar Party,Others
ABSHP,Akhil Bhartiya Sarvjan Hit Party,Others
ABRSP,Akhil Bhartiya Sudhar Party,Others
AHFBK,Akhil Hind Forward Bloc (Krantikari),Others
AVP,Akhila Vijaya Party,Others
ALHP,Al-Hind Party,Others
AIADMK,All India Anna Dravida Munnetra Kazhagam,Others
AIAM,All India Arya Mahasabha,Others
AIBPSP,All India Backward People Sunami Party,Others
AIFB,All India Forward Bloc,Others
AIJP,All India Jaihind Party,Others
AIJMK,All India Jananayaka Makkal Kazhagam,Others
AIKJ,All India Kisan Janatha party,Others
AIMEP,All India Mahila Empowerment Party,Others
AIMEIEM,All India Majlis-E-Inquilab-E-Millat,Others
AIMIM,All India Majlis-E-Ittehadul Muslimeen,Others
AIMPR,All India Mazdoor Party (Rangreta),Others
AINRS,All India National Raksha Sena,Others
AIPDP,All India People Development Party,Others
AISF,All India Secular Front,Others
AITC,All India Trinamool Congress,INDIA
AIUC,All India Ulama Congress,Others
AIUDF,All India United Democratic Front,Others
AIUUK,All India Uzhavargal Uzhaippalargal Katchi,Others
AIYDP,All India Youth Development Party,Others
ALPP,All Peoples Party,Others
ADRP,Alliance of Democratic Reforms Party,Others
AMSP,Aman Samaj Party,Others
ANC,Ambedkar National Congress,Others
ABRP,Ambedkarist Republican Party,Others
API,Ambedkarite Party of India,Others
AMMK,Amma Makkal Munnettra Kazagam,NDA
AB,Amra Bangalee,Others
AIMK,Anaithu India Makkal Katchi,Others
ANDC,Andaman Nicobar Democratic Congress,Others
APRS,Andhra Pradesh Rashtra Samithi,Others
ARPS,Andhra Rastra Praja Samithi,Others
ANAP,Anjaan Aadmi Party,Others
ANMK,Anna Makkal Katchi,Others
AMGRDMK,Anna MGR Dravida Makkal Kalgam,Others
APTADMK,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,Others
AYSRCP,Anna YSR Congress Party,Others
ACDP,Anti Corruption Dynamic Party,Others
ADK,Apna Dal (Kamerawadi),Others
ADAL,Apna Dal (Soneylal),NDA
ADP,Apna Desh Party,Others
AHP,Apna Haq Party,Others
AKP,Apna Kisan Party,Others
APSP,Apna Samaj Party,Others
AEP,Apni Ekta Party,Others
APNP,Apni Prajahit Party,Others
AMK,Aravor Munnetra Kazhagam,Others
ARDP,Arunachal Democratic Party,Others
AKSP,Asankhya Samaj Party,Others
ASGP,Asom Gana Parishad,NDA
AJM,Asom Jana Morcha,Others
ASJP,Assam Jatiya Parishad,INDIA
ABP,Atulya Bharat Party,Others
ASDC,Autonomous State Demand Committee,Others
AWSP,Awami Samta Party,Others
AAS,Azad Adhikar Sena,Others
AJTP,Azad Janata Party,Others
AP,Azad Party,Others
ASP,Azad Samaj Party,Others
BAWP,Bahujan Awam Party,Others
BHBP,Bahujan Bharat Party,Others
BDRP,Bahujan Dravida Party,Others
BKPMA,Bahujan Kranti Party (Marxwad-Ambedkarwad),Others
BMHP,Bahujan Maha Party,Others
BMKP,Bahujan Mukti Party,Others
BNPA,Bahujan National Party (Ambedkar),Others
BRSP,Bahujan Republican  Socialist Party,Others
BSP,Bahujan Samaj Party,Others
BSPA,Bahujan Samaj Party  (Ambedkar),Others
BSSSSP,Bahujan Shoshit Samaj Sangharsh Samta Party,Others
BVA,Bahujan Vikas Aaghadi,Others
BLP,Bahujana Left Party,Others
BVP,Bajjikanchal Vikas Party,Others
BLJP,Baliraja Party,Others
BNS,Bangali Nabanirman Sena,Others
BNNP,Bengaluru Nava Nirmana Party,Others
BP(P),Bhagidari Party(P),Others
BAP,Bharat Adivasi Party,Others
BJJP,Bharat Jago Janta Party,Others
BJAP,Bharat Jan Aadhar Party,Others
BJJD,Bharat Jan Jagran Dal,Others
BHJDP,Bharat Jodo Party,Others
BKLJP,Bharat Ki Lok Jimmedar Party,Others
BLSP,Bharat Lok Sewak Party,Others
BMPP,Bharat Mahaparivar Party,Others
BNP,Bharat Nirman Party,Others
BPS,Bharat Peoples Sena,Others
BRPD,Bharat Rakshak Party (Democratic),Others
BRS,Bharat Rashtra Samithi,Others
BDJS,Bharath Dharma Jana Sena,NDA
BCYP,Bharatha Chaitanya Yuvajana Party,Others
BJKP,Bharatheeya Jawan Kisan Party,Others
BYKD,Bharathiya YuvaKula Dalam,Others
BAAP,Bharatiya Aam Awam Party,Others
BASP,Bharatiya Asha Party,Others
BBC,Bharatiya Bahujan Congress,Others
